Nome Escola,Contato,Rua,Bairro,Lote,"nm_bai,C,80",Longitude (X),Latitude(Y)
Centro de Educação Infantil Raboni,   328775,RUA CAPRI,JARDIM EUROPA,        539,Jd Europa,679890.0,8152314.0
EM Jornalista jaime Camera,   357738,RUA DAS DRACENAS,RESIDENCIAL JARDINS DO CERRADO 4,          0,Res Jardins do Cerrado 4,667486.0,8156784.0
CMEI Alegria de Aprender,   329922,RUA JC48,JARDIM CURITIBA,        102,Jd Curitiba,678129.0,8163993.0
EM AYRTON SENNA,   329831,AVE DO POVO,JARDIM CURITIBA,          0,Jd Curitiba,677582.0,8163274.0
CRECHE E EDUCANDARIO ESPIRITA CASA DO CAMINHO,   321074,AVE CENTRAL,JARDIM CURITIBA,          0,Jd Curitiba,677622.0,8163314.0
CRECHE VÓ MARIA DE NAZARETH,   329824,AVE DO POVO,JARDIM CURITIBA,0.0,Jd Curitiba,676829.0,8162758.0
EM PROFESSOR PAULO FREIRE,   329814,RUA JC3,JARDIM CURITIBA,          0,Jd Curitiba,677100.0,8162541.0
CMEI CANTINHO DO SABER,   329818,RUA VM4A,SETOR NOVO PLANALTO,          0,S Novo Planalto,677091.0,8161404.0
EM GO-04,   329824,AL DOS CIPRESTES,SITIO DE R DOS BANDEIRANTES,          0,Sir dos Bandeirantes,674011.0,8163494.0
EM SÃO JOSÉ,   359346,RUA CP15,CONJUNTO PRIMAVERA,          0,Cj Primavera,673638.0,8165027.0
CMEI JARDIM CURITIBA,   329824,AVE DO POVO,JARDIM CURITIBA,          0,Jd Curitiba,677808.0,8163692.0
CMEI BEIJA FLOR II,   359523,RUA SC32,BAIRRO SAO CARLOS,          0,Bro S?úo Carlos,676115.0,8164592.0
EM NOVA CONQUISTA,   359587,TR 1,SETOR PARQUE TREMENDAO,          0,S Parque Tremend?úo,678187.0,8162264.0
EM OD?ìLIA MENDES DE BRITO,   359566,RUA VM4A,SETOR NOVO PLANALTO,        351,S Novo Planalto,677059.0,8161371.0
ESCOLA ESPIRITA PIETRO UBALDI,   359599,RUA SC32,BAIRRO SAO CARLOS,          0,Bro S?úo Carlos,676076.0,8164563.0
EM PROFESSOR ARISTOCLIDES TEIXEIRA,   320542,RUA MARACANA,VILA JARDIM POMPEIA,          0,Vl Jardim Pomp?®ia,687557.0,8162488.0
EM BERNARDO ELIS,   329844,RUA SC33,BAIRRO SAO CARLOS,          0,Bro S?úo Carlos,675816.0,8164450.0
EM MARIA CLARA MACHADO,,RUA A7,BAIRRO DA VITORIA,          0,Bro da Vit??ria,676193.0,8163985.0
EM MARIA DA TERRA,   329824,RUA BF1A,BAIRRO FLORESTA,          0,Bro Floresta,677670.0,8165203.0
EM NOSSA SENHORA DA TERRA,   329840,RUA JC66,JARDIM CURITIBA,          0,Jd Curitiba,677823.0,8164631.0
CENTRO PROMOCIONAL TODOS OS SANTOS II,   357600,RUA GASPAR SILVEIRA MARTINS,BAIRRO CAPUAVA,          0,Bro Capuava,679494.0,8157760.0
CMEI VIVENDO E APRENDENDO,   329982,RUA JANUARIO DA CUNHA BARBOSA,BAIRRO CAPUAVA,          0,Bro Capuava,678344.0,8157811.0
CENTRO PROMOCIONAL TODOS OS SANTOS I,   329726,RUA PRUDENTE,BAIRRO CAPUAVA,          0,Bro Capuava,678857.0,8157297.0
CRECHE MEIMEI,   320682,RUA SANTIAGO,JARDIM NOVO MUNDO,        178,Jd Novo Mundo,690200.0,8156364.0
CENTRO PROMOCIONAL TODOS OS SANTOS III,   358112,RUA MANOEL PRETO,BAIRRO CAPUAVA,        350,Bro Capuava,679293.0,8157758.0
EM MOISÉS SANTANA,   329512,AVE RAPOSO TAVARES,BAIRRO CAPUAVA,         33,Bro Capuava,679363.0,8157034.0
CMEI HERDEIROS DO FUTURO,   329758,RUA PEDRO ARAUJO LIMA,BAIRRO CAPUAVA,          0,Bro Capuava,678489.0,8157766.0
CMEI SETOR SANTOS DUMONT,   329758,AVE EPHRAIM DE MORAIS,SETOR SANTOS DUMONT,          0,S Santos Dumont,676712.0,8158291.0
EM D. ANGELINA PUCCI LIMONGI,   329728,RUA 7,SETOR SANTOS DUMONT,        450,S Santos Dumont,677001.0,8158413.0
ESCOLA DIREITO DO SABER - CECOM,   329710,RUA 15,SETOR SANTOS DUMONT,        293,S Santos Dumont,677894.0,8159220.0
CRECHE COMUNIDADE CORUJA,   329531,RUA CANA BRAVA,BAIRRO NOSSA SENHORA DE FATIMA,         50,Bro Nossa Senhora de F?ítima,679319.0,8154504.0
CMEI RECANTO INFANTIL,   329352,RUA 8,VILA SANTA TEREZA,          0,Vl Santa Tereza,681651.0,8155119.0
EM ARCEBISPO DOM EMMANUEL,   329227,RUA 1,SETOR CASTELO BRANCO,        496,Vl Aurora,681224.0,8155406.0
EM OSTERNO POTENCIANO E SILVA,   329223,RUA 11,SETOR CASTELO BRANCO,        285,Vl Santa Tereza,681538.0,8154872.0
EM CORONEL JOSÉ VIANA ALVES,   329736,RUA CM7,SETOR CANDIDA DE MORAIS,        150,S Candida de Morais,678197.0,8158560.0
CMEI MÃE TINA,35241983,RUA 6,SETOR CENTRO OESTE,0,,684157.0,8157326.0
CMAI BRASIL DI RAMOS CAIADO,   329541,RUA LEAO XIII,BAIRRO RODOVIARIO,          1,Bro Rodovi?írio,680337.0,8155924.0
CENTRO COMUNITARIO DE EDUC. INFANTIL SÃO CRISTOVO,   329525,RUA DOS MISSIONARIOS,BAIRRO RODOVIARIO,       1125,Bro Rodovi?írio,680095.0,8156062.0
CMEI JARDIM PRIMAVERA,   358152,AVE COMERCIAL,CONJUNTO PRIMAVERA,          0,Cj Primavera,673523.0,8165239.0
EM ABRÃO RASSI,   355833,RUA C11,VILA NOVA CANAA,         50,Vl Nova Cana?ú,679715.0,8154063.0
EM LIONS CLUBE GOIANIA TOCANTINS,   328449,RUA COLOMBIA,VILA MARIA LUIZA,          0,Vl Maria Luiza,689705.0,8154119.0
CENTRO DE EDUCACAO INFANTIL PEDACINHO DO CEU,   328776,AVE C12,SETOR SUDOESTE,          0,S Sudoeste,681338.0,8153262.0
CENTRO DE EDUCACAO INFANTIL QUERUBINS,   324187,RUA C99,SETOR SUDOESTE,         12,S Sudoeste,680711.0,8152506.0
EM JARBAS JAYME,   328746,RUA C75,SETOR SUDOESTE,        243,S Sudoeste,680590.0,8152463.0
EM PROFESSOR LOURENÇO FERREIRA CAMPOS,   320750,RUA GB11,JARDIM GUANABARA II,         60,Jd Guanabara II,690497.0,8162514.0
EM PEDRO COSTA DE MEDEIROS,   320727,RUA CARAVELA,JARDIM GUANABARA,        240,Jd Guanabara,690012.0,8161585.0
CMEI JARDIM GUANABARA I,   320715,RUA JUIZ DE FORA,JARDIM GUANABARA,          0,Jd Guanabara,690851.0,8161274.0
CMEI MINERVINA MARIA DE SOUSA ANTIGO RECANTO MG,35247314,RUA SR38,SETOR RECANTO DAS MINAS GERAIS,0,,693977.0,8158781.0
CENTRO DE EDUCACAO INFANTIL MENINO JESUS,   320750,RUA SANTA CATARINA,JARDIM GUANABARA,       1665,Jd Guanabara,690385.0,8161491.0
EM PROFESSORA MARILIA CARNEIRO AZEVEDO DIAS,   320734,RUA GB34,JARDIM GUANABARA III,        150,Jd Guanabara III,690058.0,8162498.0
EM MARIA ODETE AUGUSTA DE BRITO,   320748,RUA GB41,JARDIM GUANABARA III,        333,Jd Guanabara III,689749.0,8162311.0
CMEI JARDIM GUANABARA III,   320750,AVE ALVICTO OZORES NOGUEIRA,JARDIM GUANABARA III,          0,Jd Guanabara III,690176.0,8162707.0
CENTRO DE EDUCACAO INFANTIL LUZEIRO,   329513,PCA ABEL COIMBRA,BAIRRO CIDADE JARDIM,        209,Bro Cidade Jardim,680062.0,8155300.0
EM AGRIPINA TEIXEIRA MAGALH?âES,   321029,RUA SERRA DOURADA,BAIRRO JARDIM DIAMANTINA,        251,Bro Jardim Diamantina,683397.0,8159726.0
CEI - CASA DA CRIANCA JOSEFA LOPES,   328614,RUA C159,BAIRRO JARDIM AMERICA,          0,Bro Jardim Am?®rica,682216.0,8151212.0
CENTRO DE EDUCACAO INFANTIL EFIC?üCIA,   324187,PCA C221,BAIRRO JARDIM AMERICA,          0,Bro Jardim Am?®rica,0.0,0.0
CENTRO DE EDUCACAO INFANTIL SANTA LUZIA,   328635,RUA C187,BAIRRO JARDIM AMERICA,         75,Bro Jardim Am?®rica,682204.0,8152765.0
CMEI JARDIM AMERICA- NAC,   325937,PCA C164,BAIRRO JARDIM AMERICA,          0,Bro Jardim Am?®rica,682789.0,8150864.0
EM JOÃO PAULO I,   328627,RUA C169,BAIRRO JARDIM AMERICA,       1595,Bro Jardim Am?®rica,682406.0,8150422.0
CEI - JULIANA PIRES,35973477,RUA VALDIR AZEVEDO,RESIDENCIAL YTAPUA,0,,671182.0,8154430.0
EM PROF. MOACIR MONCLAR BRAND?âO,   328627,RUA C115,BAIRRO JARDIM AMERICA,         35,Bro Jardim Am?®rica,682371.0,8152600.0
EM PROFESSORA MARIA CAMARGO,   325920,RUA C152,BAIRRO JARDIM AMERICA,       1201,Bro Jardim Am?®rica,683407.0,8150762.0
ESCOLA ROTARY GOIANIA OESTE,   328627,RUA C118,BAIRRO JARDIM AMERICA,        389,Bro Jardim Am?®rica,682176.0,8152155.0
EM JALLES MACHADO DE SIQUEIRA,   328221,RUA ARUANA,JARDIM BELA VISTA,         61,Jd Bela Vista,688146.0,8149106.0
EM DEPUTADO JAMEL CEC?ìLIO,   328951,AVE PEDRO LUDOVICO TEIXEIRA,JARDIM VILA BOA,        777,Jd Vila Boa,678841.0,8149442.0
CMEI CONJUNTO VERA CRUZ II,   329870,RUA ARY BARROSO,CONJUNTO VERA CRUZ,          0,Cj Vera Cruz,672237.0,8155082.0
CMEI CONJUNTO VERA CRUZ VI,   359370,RUA VC46,CONJUNTO VERA CRUZ,          0,Cj Vera Cruz,672500.0,8155614.0
CMEI CRIANÇA FELIZ,   359393,RUA VC3,CONJUNTO VERA CRUZ,          0,Cj Vera Cruz,672613.0,8157414.0
EM LAURINDO SOBREIRA DO AMARAL,   329878,RUA VALDIR AZEVEDO,CONJUNTO VERA CRUZ,         63,Cj Vera Cruz,672065.0,8154397.0
EM PROFESSORA  ANTONIA  MARANHÃO DO AMARAL,   359386,AVE ARGENTINA MONTEIRO,CONJUNTO VERA CRUZ,       2131,Cj Vera Cruz,671693.0,8155772.0
